Badger	008p	009p	010p	010y	011y	012b	013p	014p	015p	016p	018p	020p	020y	024y	031y	032y	033p	034p	035p	035r	037w	038p	038r	040r	043p	043w	044p	045p	046p	047p	048p	049p	049w	049y	050g	050y	051p	052w	054w	055b	056b	058y	061y	062p	063p	064p	067p	067y	070y	082w	103w
008p	0	0	0	0	0	354	0	0	0	51	139	32	0	203	0	0	0	0	142	662	15933	1660	0	0	0	0	20	0	217429	186438	12397	834	35607	0	0	0	0	118	22556	188	0	0	0	0	0	20	0	0	380	0	0
009p	0	0	8	0	102688	0	0	173092	198123	0	0	0	117	0	0	0	0	0	0	0	0	0	0	121836	0	0	0	1021	0	0	0	0	0	0	0	0	0	36473	0	0	0	0	0	0	0	0	4026	0	0	0	0
010p	0	8	0	0	3	0	74	0	0	0	0	0	10647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2810	15759	0	0	0	0	0	0	0	0	0	0	0	0	0
010y	0	0	0	0	0	0	0	0	0	69960	0	0	0	0	0	0	0	0	42408	49	0	88132	0	0	98796	60	60946	0	0	289	0	0	0	0	0	0	0	0	0	0	0	67796	44277	0	0	61883	0	0	0	0	0
011y	0	102688	3	0	0	766	0	160749	68133	0	48	0	2129	0	0	0	0	0	0	0	16	0	0	168387	0	0	0	69	53587	0	40	0	0	0	0	0	0	60803	0	4	0	0	0	0	0	0	18017	0	0	0	0
012b	354	0	0	0	766	0	0	0	0	0	215319	5419	0	0	0	0	0	0	0	0	8241	0	0	0	0	0	0	0	0	0	744	0	0	0	0	0	0	5	3028	14457	655	0	0	0	0	0	0	0	36071	0	0
013p	0	0	74	0	0	0	0	0	0	0	0	0	3563	0	0	0	0	0	0	0	0	0	265	0	0	0	0	5087	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0
014p	0	173092	0	0	160749	0	0	0	303544	0	0	0	106	0	0	0	0	0	0	0	0	0	0	110085	0	0	0	1705	25544	0	0	0	0	0	0	0	0	66788	0	0	0	0	0	0	0	0	15759	0	9	0	0
015p	0	198123	0	0	68133	0	0	303544	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	42071	0	0	0	1433	9119	0	0	0	0	0	0	0	0	55055	0	0	0	0	0	0	0	0	7543	0	0	0	0
016p	51	0	0	69960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43284	0	0	82234	0	0	120877	3	70018	0	411	331	0	0	0	0	0	0	0	0	47	0	0	49345	63875	0	3	62174	0	0	0	0	0
018p	139	0	0	0	48	215319	0	0	0	0	0	2185	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	2	14	0	0	0	0	0	0	5	0	26302	8196	0	0	0	0	0	0	0	33758	0	0
020p	32	0	0	0	0	5419	0	0	0	0	2185	0	0	9529	0	0	0	0	0	0	657	0	0	0	0	0	0	0	0	0	17078	37929	0	0	0	0	0	0	1054	39033	124852	0	0	0	0	0	0	0	48206	0	0
020y	0	117	10647	0	2129	0	3563	106	213	0	0	0	0	46	0	0	0	0	0	0	0	0	4599	161	0	0	0	24619	203	0	0	0	0	0	0	0	18	52110	0	5	0	0	0	0	0	0	0	0	0	0	0
024y	203	0	0	0	0	0	0	0	0	0	0	9529	46	0	0	0	0	0	0	0	1353	0	0	3	0	0	0	0	0	0	2108	7021	0	0	0	0	0	26	6315	28920	11136	0	0	0	0	0	0	0	9297	0	0
031y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21311
032y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6141
033p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58683	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	60220	0	45443	0	0	0	0	0	0	0	168	103	0	0	23083	0	0	0
034p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45735	0	23815	0	0	0	0	0	0	0	0	0	0	0	29195	0	3	0
035p	142	0	0	42408	0	0	0	0	0	43284	0	0	0	0	0	0	0	0	0	0	0	75135	0	0	114621	79	44593	0	223	218	0	0	0	0	47	0	0	0	0	0	0	92537	57806	0	6	52313	0	0	0	0	0
035r	662	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0
