YDR477W	YGL115W
YER148W	YGR274C
YML051W	YPL248C
YDR097C	YOL090W
YDR448W	YGR252W
YBL016W	YDR103W
YDR217C	YPL153C
YMR167W	YNL082W
YBR198C	YER148W
YDR176W	YDR448W
YHL007C	YLR229C
YMR224C	YNL250W
YJL143W	YNR017W
YCL032W	YLR362W
YIL022W	YJR045C
YDR227W	YLR442C
YHR005C	YOR212W
YLR347C	YOR098C
YIL022W	YNR017W
YER095W	YML032C
YDL159W	YDR103W
YCR039C	YCR097W
YDR103W	YLR362W
YDR328C	YFL009W
YBL016W	YDL159W
YJR045C	YOR232W
YDR369C	YMR224C
YDR328C	YJR090C
YBR112C	YCR084C
YAL021C	YNR052C
YER148W	YPL082C
YIL109C	YPR181C
YLR347C	YNL189W
YBR198C	YDR167W
YBL084C	YKL022C
YER148W	YOR194C
YDR404C	YJL140W
YDR189W	YLR026C
YER148W	YKL058W
YDR309C	YLR229C
YLR335W	YNL189W
YFR034C	YPL031C
YDR167W	YGR274C
YHR061C	YLR229C
YLR093C	YOR106W
YDR167W	YER148W
YNL262W	YPR175W
YLR026C	YLR268W
YER148W	YGR246C
YDL003W	YFL008W
YOR254C	YPL094C
YDL140C	YIL021W
YDR328C	YMR094W
YDR002W	YLR293C
YER148W	YML015C
YDL132W	YDR328C
YGL112C	YGR274C
YER022W	YGR104C
YBR160W	YPL256C
YOR027W	YPL240C
YDL042C	YDR227W
YMR197C	YOR106W
YAL041W	YBR200W
YIL144W	YMR117C
YDR145W	YGL112C
YGL207W	YML069W
YBR198C	YGL112C
YER148W	YGL112C
YBR160W	YPR119W
YDR311W	YER171W
YER148W	YPR086W
YDR448W	YGL112C
YKL022C	YNL172W
YBR136W	YDR499W
YER022W	YHR041C
YGR200C	YPL086C
YFR028C	YJL076W
YBR081C	YBR198C
YLR293C	YLR347C
YHR172W	YLR212C
YNR017W	YPL063W
YLR335W	YLR347C
YDR103W	YOR212W
YBR081C	YDR448W
YDL017W	YDR052C
YDR145W	YGR274C
YML095C	YPL022W
YGR009C	YPL232W
YGL153W	YLR191W
YHR172W	YNL126W
YCR088W	YNL138W
YDR388W	YOR181W
YDR118W	YKL022C
YMR146C	YOR361C
YMR309C	YPR041W
YIL126W	YLR357W
YBR253W	YER022W
YOR361C	YPR041W
YDR121W	YNL262W
YGL044C	YMR061W
YKL022C	YLR127C
YDR448W	YOL148C
YBR079C	YOR361C
YLR229C	YNL298W
YHR107C	YJR076C
YHR166C	YKL022C
YDL132W	YDR054C
YDR176W	YGL112C
YLL036C	YPR101W
YOL051W	YPL248C
YER148W	YPL248C
YDL003W	YJL074C
YDR244W	YGL153W
YER157W	YGR120C
YDR448W	YLR055C
YJR045C	YNR017W
YBR081C	YDR176W
YGL238W	YLR293C
YAL043C	YNL317W
YDL140C	YJR017C
YER095W	YGL163C
YDR028C	YER133W
YNL244C	YPR041W
YDL030W	YJL203W
YDR211W	YOR260W
YDL106C	YFR034C
YKL022C	YOR249C
YBR198C	YGR274C
YNL025C	YPL042C
YGR047C	YGR246C
YDR009W	YML051W
YGR200C	YLR384C
YER171W	YLR005W
YLR362W	YLR362W
YKL022C	YLR102C
YDL235C	YLR006C
YGR200C	YHR187W
YDR167W	YGL112C
YER012W	YKL145W
YBR278W	YNL262W
YDL042C	YJL076W
YGL130W	YPL228W
YDR244W	YLR191W
YLR026C	YLR078C
YPL218W	YPR181C
YGL240W	YKL022C
YBR198C	YDR448W
YDR328C	YIL046W
YLR288C	YOR368W
YLR347C	YMR047C
YBR081C	YDR167W
YJR053W	YML064C
YGL025C	YLR071C
YMR146C	YPR041W
YER018C	YMR117C
YDR468C	YMR197C
YDR103W	YDR103W
YDR167W	YDR448W
YDL132W	YJR090C
YGL233W	YPR055W
YER111C	YLR182W
YGL106W	YOR326W
YBR154C	YDL140C
YKL110C	YPL086C
YDL132W	YFL009W
YDL140C	YER125W
YER133W	YOR178C
YGR082W	YMR203W
YGL112C	YLR055C
YIL144W	YOL069W
YLR071C	YNL236W
YDR422C	YDR477W
YCR009C	YDR388W
YGR233C	YOL001W
YJR086W	YOR212W
YBR109C	YDR356W
YDL042C	YLR442C
YBR143C	YDR172W
