#Name	FlyBaseID	Pos/Neg	Annotations
fog	FBgn0000719	Positive	gastrulation_GO0007369;apical_constriction_GO0003383;Manning2014
Rok	FBgn0026181	Positive	gastrulation_GO0007369;apical_constriction_GO0003383;Manning2014
RhoGEF2	FBgn0023172	Positive	gastrulation_GO0007369;Manning2014
Abl	FBgn0000017	Positive	gastrulation_GO0007369;Manning2014
cta	FBgn0000384	Positive	gastrulation_GO0007369;apical_constriction_GO0003383;Manning2014
Ggamma1	FBgn0004921	Positive	gastrulation_GO0007369;Manning2014
RN-tre	FBgn0020620	Positive	Manning2014
aPKC	FBgn0261854	Positive	Manning2014
Gbeta13F	FBgn0001105	Positive	gastrulation_GO0007369;Manning2014
Gprk2	FBgn0261988	Positive	gastrulation_GO0007369;apical_constriction_GO0003383;Manning2014
T48	FBgn0004359	Positive	gastrulation_GO0007369;Manning2014
zip	FBgn0265434	Positive	Manning2014
Rho1	FBgn0014020	Positive	gastrulation_GO0007369;Manning2014
ric8a	FBgn0028292	Positive	gastrulation_GO0007369;Manning2014
baz	FBgn0000163	Positive	gastrulation_GO0007369;Manning2014
dia	FBgn0011202	Positive	apical_constriction_GO0003383;Manning2014
par-6	FBgn0026192	Positive	Manning2014
crb	FBgn0259685	Positive	apical_constriction_GO0003383;Manning2014
krz	FBgn0040206	Positive	gastrulation_GO0007369;Manning2014
RhoGAP71E	FBgn0036518	Positive	gastrulation_GO0007369;apical_constriction_GO0003383
alpha-Cat	FBgn0010215	Positive	apical_constriction_GO0003383
hop	FBgn0004864	Positive	gastrulation_GO0007369;apical_constriction_GO0003383
nyo	FBgn0039852	Positive	apical_constriction_GO0003383
upd1	FBgn0004956	Positive	gastrulation_GO0007369;apical_constriction_GO0003383
WASp	FBgn0024273	Positive	apical_constriction_GO0003383
m	FBgn0002577	Positive	apical_constriction_GO0003383
smog	FBgn0051660	Positive	gastrulation_GO0007369;apical_constriction_GO0003383
mey	FBgn0039851	Positive	apical_constriction_GO0003383
dyl	FBgn0066365	Positive	apical_constriction_GO0003383
Traf4	FBgn0026319	Positive	gastrulation_GO0007369;apical_constriction_GO0003383
sqh	FBgn0003514	Positive	gastrulation_GO0007369;apical_constriction_GO0003383
zye	FBgn0036985	Positive	apical_constriction_GO0003383
xit	FBgn0029906	Positive	gastrulation_GO0007369;apical_constriction_GO0003383
